NO,SONG,SINGER,ALBUM,SDATE,LINK,WRITER
1,FEARLESS,LE SSERAFIM,FEARLESS,2022-05-02,https://youtu.be/Aay8hrudG1o,Jeong
2,LOVE DIVE,IVE,LOVE DIVE,2022-04-05,https://youtu.be/Y8JFxS1HlDo,Jeong
3,FOREVER 1,소녀시대,FOREVER 1 - The 7th Album,2022-08-05,https://youtu.be/Qpf26PtBXgo,Jeong
4,도깨비 불,aespa,Girls - The 2nd Mini Album,2022-07-08,https://youtu.be/h7pDGP1XjZM,Jeong
5,라일락,아이유,IU 5th Album 'LILAC',2021-03-25,https://youtu.be/v7bnOxV4jAc,Jeong
6,마지막처럼,BLACKPINK,마지막처럼,2017-06-22,https://youtu.be/Amq-qlqbjYA,Jeong
7,상상더하기,라붐,Fresh Adventure,2016-04-06,https://youtu.be/BkN-ZOZIy2o,Jeong
8,REALLY REALLY,WINNER,FATE NUMBER FOR,2017-04-04,https://youtu.be/4tBnF46ybZk,Jeong
9,WANNABE,ITZY,IT'z ME,2020-03-09,"https://youtu.be/fE2h3lGlOsk	",Jeong
10,HIP,마마무,reality in BLACK,2019-11-14,https://youtu.be/KhTeiaCezwM,Jeong
11,한(一),(여자)아이들,한(一),2018-08-14,https://youtu.be/3K38Fc1SV5c,Jeong
12,불티,태연,Purpose - The 2nd Album,2019-10-28,https://youtu.be/eP4ga_fNm-E,Jeong
13,Love Shot,EXO,LOVE SHOT - The 5th Album Repackage,2018-12-13,https://youtu.be/WgDKNrnK3bw,Jeong
14,피카부,Red Velvet,Perfect Velvet - The 2nd Album,2017-11-17,https://youtu.be/6uJf2IT2Zh8,Jeong
15,우리집,2PM,NO.5,2015-06-15,https://youtu.be/u2pFB1dCSo4,Jeong
16,View,SHINee,Odd - The 4th Album,2015-05-18,https://youtu.be/UF53cptEE5k,Jeong
17,OOH-AHH하게,TWICE,THE STORY BEGINS,2015-10-20,https://youtu.be/0rtV5esQT6I,Jeong
18,너 그리고 나,여자친구,여자친구 The 1st Album 'LOL',2016-07-11,https://youtu.be/Se8bbsUFjC8,Jeong
19,I NEED U,방탄소년단,화양연화 Young Forever,2016-05-02,https://youtu.be/NMdTd9e-LEI,Jeong
20,덤더럼,Apink,LOOK,2020-04-13,https://youtu.be/mrP_cpcuNEc,Jeong
21,Hype Boy,New Jeans,NewJeans 1st EP New Jeans,2022-08-01,https://youtu.be/a1r2PX8uwPg,Jeong
